iso1,iso2,group,community,id,season
-18.15,3.2,1,1,AN,august
-19.48,4.51,1,1,AN,august
-18.18,4.11,1,1,AN,august
-18.99,3.53,1,1,AN,august
-18.82,3.36,1,1,AN,august
-18.34,4.24,1,1,AN,august
-19.09,3.17,1,1,AN,august
-18.33,4.18,1,1,AN,august
-18.93,3.89,1,1,AN,august
-19.21,4.21,1,1,AN,august
-19.77,3.12,1,1,AN,august
-18.58,3.56,1,1,AN,august
-19.1,4.11,1,1,AN,august
-19.99,3.54,1,1,AN,august
-19.05,3.21,1,1,AN,august
-19.3,3.67,1,1,AN,august
-19.05,3.59,1,1,AN,august
-17.85,4.49,1,1,SL,august
-18.63,4.61,1,1,SL,august
-18.21,4.57,1,1,SL,august
-18.12,4.68,1,1,SL,august
-18.05,4.78,1,1,SL,august
-17.68,4.43,1,1,SL,august
-18.02,4.52,1,1,SL,august
-15.83,2.08,2,1,GA,august
-16.51,1.34,2,1,GA,august
-16.53,2.09,2,1,GA,august
-16.58,2.01,2,1,GA,august
-16.18,2.06,2,1,GA,august
-16.31,2.08,2,1,GA,august
-16.06,1.47,2,1,GA,august
-15.09,2.6,2,1,GA,august
-15.56,2.88,2,1,GA,august
-15.64,1.25,2,1,GA,august
-17.51,2.31,2,1,GA,august
-16.95,1.84,2,1,GA,august
-17,2.09,2,1,GA,august
-15.34,1.98,2,1,GA,august
-16.82,1.74,2,1,GA,august
-16.58,2.45,2,1,GA,august
-15.91,2.01,2,1,GA,august
-16.91,1.91,2,1,GA,august
-18.54,-0.33,3,1,GF,august
-18.41,0.77,3,1,GF,august
-18.82,2.38,3,1,GF,august
-18.06,2.13,3,1,GF,august
-18.05,1.35,3,1,GF,august
-19.42,-0.89,3,1,GF,august
-17.72,0.98,3,1,GF,august
-18.05,3.64,3,1,GF,august
-19.56,1.2,3,1,GF,august
-18.97,2.12,3,1,GF,august
-17.4,0.35,3,1,GF,august
-18.22,1.25,3,1,GF,august
-19.36,2.41,3,1,GF,august
-19.46,0.46,3,1,GF,august
-17.71,2.32,3,1,GF,august
-19.26,0.66,3,1,GF,august
-18.98,0.95,3,1,GF,august
-18.73,1.17,3,1,GF,august
-17.74,0.63,3,1,GF,august
-18.52,0.78,4,1,GI,august
-19,2.54,4,1,GI,august
-19.34,1.52,4,1,GI,august
-18.06,4.3,4,1,GI,august
-19.01,1.09,4,1,GI,august
-18.84,5.16,4,1,GI,august
-18.3,1.88,4,1,GI,august
-17.94,0.71,4,1,GI,august
-17.57,2.64,4,1,GI,august
-18.24,2.78,4,1,GI,august
-18.06,3.11,4,1,GI,august
-17.89,2.84,4,1,GI,august
-18.02,2.47,4,1,GI,august
-17.88,4.84,5,1,HL,august
-17.53,3.81,5,1,HL,august
-18.58,3.84,5,1,HL,august
-18.11,4.16,5,1,HL,august
-17.45,4.1,5,1,HL,august
-18.21,3.97,5,1,HL,august
-18.11,4.03,5,1,HL,august
-17.42,4.11,5,1,HL,august
-17.31,3.84,5,1,HL,august
-19.38,1.4,6,1,MH,august
-20.12,0.76,6,1,MH,august
-19.82,1,6,1,MH,august
-20.75,0.96,6,1,MH,august
-18.98,1.24,6,1,MH,august
-20.68,0.81,6,1,MH,august
-19.68,0.87,6,1,MH,august
-20.12,1.11,6,1,MH,august
-18.82,1.39,6,1,MH,august
-20.85,0.84,6,1,MH,august
-18.92,0.67,6,1,MH,august
-19.64,1.05,6,1,MH,august
-18.94,0.94,6,1,MH,august
-17.89,3.01,7,1,NB,august
-17.54,2.89,7,1,NB,august
-17.67,3.84,7,1,NB,august
-16.99,3.51,7,1,NB,august
-17.67,3.54,7,1,NB,august
-17.38,3.19,7,1,NB,august
-17.86,3.27,7,1,NB,august
-16.35,3.97,7,1,NB,august
-17.61,3.12,7,1,NB,august
-18.1,2.54,7,1,NB,august
-19.07,3.65,7,1,NB,august
-17.8,3.26,7,1,NB,august
-18.72,2.94,7,1,NB,august
-16.67,4.34,8,1,Nemertes,august
-16.8,4.39,8,1,Nemertes,august
-16.55,4.46,8,1,Nemertes,august
-16.39,5.15,8,1,Nemertes,august
-17.49,6.15,9,1,PE,august
-17.92,5.23,9,1,PE,august
-16.95,3.87,10,1,Polychetes,august
-17.91,4.21,10,1,Polychetes,august
-18.21,4.06,10,1,Polychetes,august
-17.84,3.91,10,1,Polychetes,august
-17.93,4.04,10,1,Polychetes,august
-18.55,4.21,10,1,Polychetes,august
-18.7,4.35,10,1,Polychetes,august
-18.5,4.19,10,1,Polychetes,august
-17.9,5.18,10,1,Polychetes,august
-18.64,4.31,10,1,Polychetes,august
-18.42,3.94,10,1,Polychetes,august
-17.15,4.51,10,1,Polychetes,august
-18.06,5.17,10,1,Polychetes,august
-18.71,5.08,10,1,Polychetes,august
-16.73,6.29,11,1,PX,august
-17.14,4.91,11,1,PX,august
-17.38,4.89,11,1,PX,august
-16.46,5.95,11,1,PX,august
-16.8,5.16,11,1,PX,august
-17.56,5.32,11,1,PX,august
-17.3,6.01,11,1,PX,august
-16.79,5.93,11,1,PX,august
-16.65,5.66,11,1,PX,august
-17.21,5.38,11,1,PX,august
-17.7,5.5,11,1,PX,august
-16.89,5.42,11,1,PX,august
-17.11,5.67,11,1,PX,august
-16.73,5.49,11,1,PX,august
-17.02,5.71,11,1,PX,august
-18.54,5.51,1,2,AN,November
-17.89,4.87,1,2,AN,November
-18.05,4.12,1,2,AN,November
-18.42,4.09,1,2,AN,November
-17.94,5.82,1,2,AN,November
-17.57,4.34,1,2,AN,November
-17.68,4.16,1,2,AN,November
-17.42,3.91,1,2,AN,November
-17.77,4.45,1,2,AN,November
-17.73,3.35,1,2,AN,November
-18.06,4.13,1,2,AN,November
-18.26,3.51,1,2,AN,November
-17.76,4.39,1,2,AN,November
-18.13,3.8,1,2,AN,November
-17.68,3.69,1,2,AN,November
-17.34,3.69,1,2,AN,November
-18.57,3.65,1,2,AN,November
-18.4,4.21,1,2,AN,November
-17.25,4.03,1,2,AN,November
-13.57,3.72,2,2,BR,November
-14.01,4.03,2,2,BR,November
-13.81,3.07,2,2,BR,November
-13.17,2.97,2,2,BR,November
-14.12,3.18,2,2,BR,November
-13.51,4.41,2,2,BR,November
-13.67,4.13,2,2,BR,November
