Season,Species,group,d13C
01_august,AN,1,-18.15
01_august,AN,1,-19.48
01_august,AN,1,-18.18
01_august,AN,1,-18.99
01_august,AN,1,-18.82
01_august,AN,1,-18.34
01_august,AN,1,-19.09
01_august,AN,1,-18.33
01_august,AN,1,-18.93
01_august,AN,1,-19.21
01_august,AN,1,-19.77
01_august,AN,1,-18.58
01_august,AN,1,-19.1
01_august,AN,1,-19.99
01_august,AN,1,-19.05
01_august,AN,1,-19.3
01_august,AN,1,-19.05
03_march,AN,1,-18.65
03_march,AN,1,-19.09
03_march,AN,1,-19.16
03_march,AN,1,-18.81
03_march,AN,1,-18.48
03_march,AN,1,-19.06
03_march,AN,1,-17.56
03_march,AN,1,-16.94
03_march,AN,1,-17.89
03_march,AN,1,-18.02
03_march,AN,1,-17.34
03_march,AN,1,-17.47
04_May,AN,1,-18.45
04_May,AN,1,-18.27
04_May,AN,1,-19.01
04_May,AN,1,-18.26
04_May,AN,1,-18.73
04_May,AN,1,-17.92
04_May,AN,1,-18.5
04_May,AN,1,-17.89
04_May,AN,1,-18.67
02_November,AN,1,-18.54
02_November,AN,1,-17.89
02_November,AN,1,-18.05
02_November,AN,1,-18.42
02_November,AN,1,-17.94
02_November,AN,1,-17.57
02_November,AN,1,-17.68
02_November,AN,1,-17.42
02_November,AN,1,-17.77
02_November,AN,1,-17.73
02_November,AN,1,-18.06
02_November,AN,1,-18.26
02_November,AN,1,-17.76
02_November,AN,1,-18.13
02_November,AN,1,-17.68
02_November,AN,1,-17.34
02_November,AN,1,-18.57
02_November,AN,1,-18.4
02_November,AN,1,-17.25
01_august,GA,2,-15.83
01_august,GA,2,-16.51
01_august,GA,2,-16.53
01_august,GA,2,-16.58
01_august,GA,2,-16.18
01_august,GA,2,-16.31
01_august,GA,2,-16.06
01_august,GA,2,-15.09
01_august,GA,2,-15.56
01_august,GA,2,-15.64
01_august,GA,2,-17.51
01_august,GA,2,-16.95
01_august,GA,2,-17
01_august,GA,2,-15.34
01_august,GA,2,-16.82
01_august,GA,2,-16.58
01_august,GA,2,-15.91
01_august,GA,2,-16.91
03_march,GA,2,-17.16
03_march,GA,2,-17.31
03_march,GA,2,-16.12
03_march,GA,2,-17.57
03_march,GA,2,-15.98
03_march,GA,2,-17.06
03_march,GA,2,-15.41
03_march,GA,2,-17.19
03_march,GA,2,-15.88
03_march,GA,2,-16.12
03_march,GA,2,-16.56
03_march,GA,2,-16.11
03_march,GA,2,-16.19
03_march,GA,2,-15.57
03_march,GA,2,-15.28
03_march,GA,2,-16.1
03_march,GA,2,-16.41
03_march,GA,2,-16.49
03_march,GA,2,-15.98
03_march,GA,2,-15.22
04_May,GA,2,-14.59
04_May,GA,2,-15.14
04_May,GA,2,-14.36
04_May,GA,2,-15.89
04_May,GA,2,-14.58
04_May,GA,2,-15.12
04_May,GA,2,-14.47
04_May,GA,2,-14.51
04_May,GA,2,-15.36
04_May,GA,2,-15.04
04_May,GA,2,-15.11
04_May,GA,2,-15.25
04_May,GA,2,-16.46
04_May,GA,2,-15.16
04_May,GA,2,-15.14
04_May,GA,2,-15.02
04_May,GA,2,-16.06
04_May,GA,2,-15.26
04_May,GA,2,-15.85
04_May,GA,2,-15.08
02_November,GA,2,-13.68
02_November,GA,2,-14.11
02_November,GA,2,-14.23
02_November,GA,2,-14.13
02_November,GA,2,-13.36
02_November,GA,2,-14.48
02_November,GA,2,-14.65
02_November,GA,2,-13.64
